epoch,train_loss,val_loss,test_loss,mIoU,mDice,f2_score,precision,recall,accuracy
1,0.8970932960510254,0.8559450507164001,-1.0,0.09878688305616379,0.17981082201004028,0.3207273781299591,0.10380033403635025,0.6716274619102478,0.5225257873535156
2,0.8201640844345093,0.7982122302055359,-1.0,0.11198864877223969,0.20142048597335815,0.3418509364128113,0.11956169456243515,0.6387354135513306,0.6053075790405273
3,0.7817538976669312,0.7694237232208252,-1.0,0.12217675894498825,0.21774959564208984,0.3552643954753876,0.13236020505428314,0.6136019229888916,0.6564432978630066
4,0.7573769092559814,0.7469670176506042,-1.0,0.13036537170410156,0.2306605875492096,0.36439165472984314,0.14311955869197845,0.5939711928367615,0.6912313103675842
5,0.7437762022018433,0.7299714684486389,-1.0,0.1362917423248291,0.23988862335681915,0.36976391077041626,0.15131135284900665,0.5785989761352539,0.7142617106437683
6,0.7293543815612793,0.7190356850624084,-1.0,0.1416991651058197,0.24822506308555603,0.3744482100009918,0.1589333713054657,0.5664891004562378,0.7326026558876038
7,0.7192004323005676,0.7039605379104614,-1.0,0.14627139270305634,0.2552124857902527,0.3764916658401489,0.1660585105419159,0.5510755777359009,0.7493516206741333
8,0.7103583216667175,0.6942580938339233,-1.0,0.1516912281513214,0.2634234130382538,0.38254931569099426,0.17341895401477814,0.5476579666137695,0.7613309025764465
9,0.7026753425598145,0.6804680824279785,-1.0,0.15578563511371613,0.2695753276348114,0.385030597448349,0.1797448694705963,0.5388990640640259,0.7724242210388184
10,0.6907747387886047,0.6725761294364929,-1.0,0.15996789932250977,0.27581435441970825,0.38923180103302,0.1856527328491211,0.5362350344657898,0.780562162399292
11,0.686576783657074,0.6606900095939636,-1.0,0.16496504843235016,0.28321027755737305,0.3963278830051422,0.19191715121269226,0.5401584506034851,0.7869275808334351
12,0.6813802123069763,0.6527788043022156,-1.0,0.16892896592617035,0.2890320420265198,0.40166473388671875,0.1969744861125946,0.5426382422447205,0.7919643521308899
13,0.6728060245513916,0.6485452055931091,-1.0,0.17310108244419098,0.2951171100139618,0.4084142744541168,0.20181073248386383,0.5488976240158081,0.7956675887107849
14,0.6674692034721375,0.6436089873313904,-1.0,0.17707166075706482,0.30086812376976013,0.4146585464477539,0.20644651353359222,0.5544586181640625,0.7991946339607239
15,0.6621825695037842,0.6325404047966003,-1.0,0.18022099137306213,0.30540210008621216,0.4173825681209564,0.21103642880916595,0.5524176359176636,0.8041821718215942
16,0.6601905822753906,0.635383129119873,-1.0,0.183370903134346,0.3099128007888794,0.4221322536468506,0.2147599756717682,0.556462287902832,0.8068817257881165
17,0.6536772847175598,0.6253839135169983,-1.0,0.1859862357378006,0.3136398196220398,0.42443132400512695,0.21855539083480835,0.5551722645759583,0.8106471300125122
18,0.6489861011505127,0.6320470571517944,-1.0,0.1887361705303192,0.3175409138202667,0.4296640157699585,0.2212943583726883,0.5619451999664307,0.8117676973342896
19,0.6498982310295105,0.627942681312561,-1.0,0.19124861061573029,0.32108932733535767,0.4329577088356018,0.2244381308555603,0.5639442205429077,0.8141570091247559
20,0.6462183594703674,0.6132933497428894,-1.0,0.19339466094970703,0.3241084814071655,0.43461787700653076,0.22763943672180176,0.5624735355377197,0.8171849846839905
21,0.6448835730552673,0.6184574961662292,-1.0,0.1956467628479004,0.3272651731967926,0.4374715983867645,0.23049092292785645,0.5641153454780579,0.8192678689956665
22,0.6383706331253052,0.608156681060791,-1.0,0.19766585528850555,0.3300851285457611,0.43931645154953003,0.23337487876415253,0.5636687278747559,0.8217043280601501
23,0.6393070816993713,0.6063097715377808,-1.0,0.1994210034608841,0.3325287699699402,0.4411480724811554,0.23577484488487244,0.5639578700065613,0.823569655418396
24,0.6363745927810669,0.6000532507896423,-1.0,0.20139214396476746,0.3352646231651306,0.4435325264930725,0.2383105456829071,0.5652171969413757,0.8253375291824341
25,0.6302658915519714,0.5925776362419128,-1.0,0.2032105177640915,0.3377804756164551,0.4454127550125122,0.24079985916614532,0.565553605556488,0.8271917700767517
26,0.6343244910240173,0.586878776550293,-1.0,0.20519307255744934,0.3405148684978485,0.4476478099822998,0.24342074990272522,0.5664612650871277,0.8290132284164429
27,0.6295428276062012,0.6030071973800659,-1.0,0.20640729367733002,0.3421851098537445,0.44828373193740845,0.24538855254650116,0.5650930404663086,0.8306887149810791
28,0.6253494024276733,0.589077889919281,-1.0,0.2081475406885147,0.344573050737381,0.4504861831665039,0.24756523966789246,0.5665898323059082,0.8320286870002747
29,0.6240454316139221,0.5757255554199219,-1.0,0.2099142223596573,0.3469902575016022,0.45196330547332764,0.25015515089035034,0.5661450624465942,0.8339444398880005
30,0.6190863847732544,0.5875879526138306,-1.0,0.21164079010486603,0.34934577345848083,0.45449838042259216,0.2521260678768158,0.5685960650444031,0.8349475860595703
31,0.621492326259613,0.5783829689025879,-1.0,0.21318978071212769,0.3514533042907715,0.45598992705345154,0.2542917728424072,0.5687745213508606,0.8364174365997314
32,0.6162369251251221,0.5758330225944519,-1.0,0.21458502113819122,0.3533470332622528,0.4571633040904999,0.2563309967517853,0.5685205459594727,0.8378416895866394
33,0.618433952331543,0.5698044300079346,-1.0,0.21591493487358093,0.3551480770111084,0.4577638804912567,0.2585504353046417,0.5669781565666199,0.8395498991012573
34,0.6135260462760925,0.5697709918022156,-1.0,0.21735310554504395,0.35709133744239807,0.4588954746723175,0.26069939136505127,0.5665808916091919,0.8410152792930603
35,0.6191383600234985,0.5650686025619507,-1.0,0.2188192903995514,0.3590676188468933,0.4604259729385376,0.26268744468688965,0.5671585202217102,0.8422157764434814
36,0.6107934713363647,0.5762842297554016,-1.0,0.2200017124414444,0.36065804958343506,0.46185579895973206,0.2641824781894684,0.568131148815155,0.8430325984954834
37,0.612637996673584,0.5670780539512634,-1.0,0.22133159637451172,0.36244308948516846,0.4629096984863281,0.2661653757095337,0.567844569683075,0.8443203568458557
38,0.6078550815582275,0.567970335483551,-1.0,0.22255124151706696,0.36407676339149475,0.46438807249069214,0.26770102977752686,0.5688810348510742,0.8451338410377502
39,0.6074539422988892,0.5698638558387756,-1.0,0.22390851378440857,0.3658909499645233,0.46611934900283813,0.2693585157394409,0.570260226726532,0.8459687829017639
40,0.6006327271461487,0.5582906603813171,-1.0,0.22533823549747467,0.3677976131439209,0.46789032220840454,0.27112939953804016,0.5715927481651306,0.8468711376190186
41,0.6037147641181946,0.5610171556472778,-1.0,0.22644901275634766,0.36927586793899536,0.4688798785209656,0.2727196216583252,0.5716782808303833,0.8478179574012756
42,0.59735506772995,0.5527991652488708,-1.0,0.22767101228237152,0.3708990812301636,0.4700731933116913,0.2744094431400299,0.5720453262329102,0.8487768173217773
43,0.6003130674362183,0.5646056532859802,-1.0,0.2287793606519699,0.3723684847354889,0.471220463514328,0.2759038805961609,0.5725497007369995,0.849592924118042
44,0.594673752784729,0.5522056221961975,-1.0,0.23000949621200562,0.3739962875843048,0.4723873436450958,0.27762219309806824,0.5728593468666077,0.8505551218986511
45,0.5955449342727661,0.539099931716919,-1.0,0.23127958178520203,0.3756735324859619,0.47307127714157104,0.2796980142593384,0.5719231367111206,0.851863443851471
46,0.5959507822990417,0.543468177318573,-1.0,0.23256662487983704,0.3773696720600128,0.4743756651878357,0.2814469635486603,0.5724833607673645,0.8527858853340149
47,0.5942611694335938,0.5451575517654419,-1.0,0.23368199169635773,0.37883666157722473,0.4752027988433838,0.28314024209976196,0.572245717048645,0.8537622094154358
48,0.5884141325950623,0.5419971346855164,-1.0,0.23505747318267822,0.3806421756744385,0.47675397992134094,0.2849131226539612,0.5732508897781372,0.8546239733695984
49,0.5867873430252075,0.5486965179443359,-1.0,0.2362544685602188,0.3822100758552551,0.47797393798828125,0.28653085231781006,0.5738224983215332,0.8554428219795227
50,0.5835978388786316,0.5310868620872498,-1.0,0.2373720407485962,0.38367128372192383,0.47837385535240173,0.2884863317012787,0.5725976228713989,0.8566406965255737
51,0.581131637096405,0.525632381439209,-1.0,0.23875324428081512,0.38547348976135254,0.4796674847602844,0.29042157530784607,0.5730153322219849,0.857624351978302
52,0.5857760310173035,0.5285586714744568,-1.0,0.24013040959835052,0.3872663974761963,0.48116958141326904,0.2922191619873047,0.5739491581916809,0.8584667444229126
53,0.5811784267425537,0.5446446537971497,-1.0,0.24130134284496307,0.3887876868247986,0.4826525151729584,0.293617844581604,0.575238823890686,0.8590545654296875
54,0.5804935693740845,0.5338402390480042,-1.0,0.24244362115859985,0.390269011259079,0.48352867364883423,0.29533275961875916,0.5751558542251587,0.8599500060081482
55,0.5805310010910034,0.5563398599624634,-1.0,0.24348360300064087,0.3916153013706207,0.48537126183509827,0.2962431311607361,0.5775516629219055,0.8601595759391785
