epoch,train_loss,val_loss,meanIoU,meanDice,precision,recall,accuracy
85.0,0.5631273984909058,0.579077422618866,0.8353902697563171,0.90729159116745,"[tensor([0.8865], device='cuda:0')]","[tensor([0.9983], device='cuda:0')]","[tensor([0.9911], device='cuda:0')]"
86.0,0.5595618486404419,0.5703917741775513,0.8525971174240112,0.918404757976532,"[tensor([0.8983], device='cuda:0')]","[tensor([0.9979], device='cuda:0')]","[tensor([0.9921], device='cuda:0')]"
87.0,0.5561444759368896,0.5723510980606079,0.8408158421516418,0.9107972979545593,"[tensor([0.8902], device='cuda:0')]","[tensor([0.9984], device='cuda:0')]","[tensor([0.9914], device='cuda:0')]"
88.0,0.552620530128479,0.5635544657707214,0.8571258783340454,0.9212483167648315,"[tensor([0.9011], device='cuda:0')]","[tensor([0.9980], device='cuda:0')]","[tensor([0.9923], device='cuda:0')]"
89.0,0.549092173576355,0.5630966424942017,0.8510370254516602,0.9173175692558289,"[tensor([0.8977], device='cuda:0')]","[tensor([0.9981], device='cuda:0')]","[tensor([0.9920], device='cuda:0')]"
90.0,0.5456768274307251,0.5549308657646179,0.8628303408622742,0.9246612787246704,"[tensor([0.9061], device='cuda:0')]","[tensor([0.9976], device='cuda:0')]","[tensor([0.9927], device='cuda:0')]"
91.0,0.5423466563224792,0.5544052124023438,0.8557785153388977,0.9201668500900269,"[tensor([0.9020], device='cuda:0')]","[tensor([0.9980], device='cuda:0')]","[tensor([0.9924], device='cuda:0')]"
92.0,0.538914144039154,0.5479893684387207,0.8665738105773926,0.9268819689750671,"[tensor([0.9093], device='cuda:0')]","[tensor([0.9977], device='cuda:0')]","[tensor([0.9930], device='cuda:0')]"
93.0,0.5356361865997314,0.548216700553894,0.8591910600662231,0.9222327470779419,"[tensor([0.9046], device='cuda:0')]","[tensor([0.9981], device='cuda:0')]","[tensor([0.9926], device='cuda:0')]"
94.0,0.5322746634483337,0.5419899225234985,0.8703634142875671,0.9291692972183228,"[tensor([0.9114], device='cuda:0')]","[tensor([0.9980], device='cuda:0')]","[tensor([0.9932], device='cuda:0')]"
95.0,0.5291270017623901,0.5442918539047241,0.8580445051193237,0.9213701486587524,"[tensor([0.9037], device='cuda:0')]","[tensor([0.9983], device='cuda:0')]","[tensor([0.9925], device='cuda:0')]"
96.0,0.5259670615196228,0.5350992679595947,0.8767091035842896,0.9329383969306946,"[tensor([0.9160], device='cuda:0')]","[tensor([0.9977], device='cuda:0')]","[tensor([0.9935], device='cuda:0')]"
97.0,0.5228224396705627,0.5427546501159668,0.8510041236877441,0.9164778590202332,"[tensor([0.8998], device='cuda:0')]","[tensor([0.9984], device='cuda:0')]","[tensor([0.9922], device='cuda:0')]"
98.0,0.5200451016426086,0.5266749858856201,0.8882495760917664,0.9398019909858704,"[tensor([0.9246], device='cuda:0')]","[tensor([0.9956], device='cuda:0')]","[tensor([0.9941], device='cuda:0')]"
99.0,0.5178322792053223,0.5631272196769714,0.7952497005462646,0.8722643852233887,"[tensor([0.8542], device='cuda:0')]","[tensor([0.9985], device='cuda:0')]","[tensor([0.9881], device='cuda:0')]"
100.0,0.517180860042572,0.5489438772201538,0.8553112149238586,0.9208162426948547,"[tensor([0.9291], device='cuda:0')]","[tensor([0.9497], device='cuda:0')]","[tensor([0.9915], device='cuda:0')]"
,,0.5489438772201538,0.8553112149238586,0.9208162426948547,"[tensor([0.9291], device='cuda:0')]","[tensor([0.9497], device='cuda:0')]","[tensor([0.9915], device='cuda:0')]"
