epoch,train_loss,val_loss,test_loss,mIoU,mDice,f2_score,precision,recall,accuracy
1,0.876820207,0.804931462,-1,0.120813549,0.215581879,0.348185509,0.131875619,0.590209126,0.665293157
2,0.790094733,0.752105176,-1,0.134007707,0.236343533,0.356947601,0.151199192,0.540988982,0.727563024
3,0.75069809,0.723190188,-1,0.142037436,0.248743922,0.3601695,0.164120644,0.513526678,0.758274853
4,0.731495559,0.698168159,-1,0.146407872,0.255420208,0.35549593,0.173851788,0.481183797,0.781379819
5,0.716408253,0.691385984,-1,0.15310581,0.265553802,0.364715517,0.182743996,0.485603124,0.790679216
6,0.706262529,0.672026515,-1,0.157815874,0.272609621,0.366002113,0.191267118,0.474336445,0.802741289
7,0.692862451,0.661000907,-1,0.164229125,0.282125115,0.374791265,0.199794143,0.479869008,0.809693754
8,0.68442297,0.655873537,-1,0.169053838,0.28921479,0.379380405,0.207157731,0.47891897,0.816556156
9,0.675462961,0.639627457,-1,0.175097555,0.298013657,0.389523208,0.214160219,0.489787698,0.820185959
10,0.667414129,0.634982467,-1,0.179736063,0.30470553,0.395564169,0.220350355,0.493708521,0.824416995
11,0.663142383,0.626982808,-1,0.184559822,0.311609149,0.403620481,0.22581324,0.502548158,0.826968193
12,0.658988476,0.620961964,-1,0.188101053,0.31664151,0.408927321,0.230095699,0.507543683,0.829282761
13,0.651671231,0.616636157,-1,0.191050082,0.320809484,0.411434859,0.234662354,0.506896973,0.832741857
14,0.650346339,0.60692358,-1,0.194694772,0.325932264,0.417356491,0.238762021,0.513353944,0.834531128
15,0.647423923,0.602832913,-1,0.197718769,0.330158949,0.420958549,0.242854029,0.515466869,0.837005556
16,0.64148277,0.607154369,-1,0.200531065,0.334070593,0.425295919,0.246093005,0.519952178,0.83846128
17,0.63928467,0.596918941,-1,0.202606067,0.336945027,0.426570266,0.24955608,0.518518686,0.840970397
18,0.637277961,0.598537087,-1,0.205133229,0.340432465,0.430715442,0.252293169,0.523221135,0.842007339
19,0.635259807,0.596231401,-1,0.207493022,0.343675762,0.43448022,0.25489068,0.527373791,0.843031943
20,0.636053026,0.593815923,-1,0.209332541,0.346195191,0.436318517,0.257536471,0.527943254,0.84460485
