epoch,train_loss,val_loss,test_loss,mIoU,mDice,f2_score,precision,recall,accuracy
1,0.67277509,0.64719218,-1,0.169210345,0.289443791,0.377102047,0.208620086,0.472499996,0.857794523
2,0.644044459,0.639687121,-1,0.178555757,0.303007752,0.430856764,0.20274131,0.599485338,0.830943048
3,0.634100914,0.633494377,-1,0.17148447,0.292764395,0.381867886,0.210789695,0.479072392,0.858117998
4,0.626412153,0.614752829,-1,0.173187196,0.29524225,0.377291411,0.216699764,0.463087559,0.864479601
5,0.620721698,0.608482063,-1,0.177563697,0.301578104,0.384004474,0.222116217,0.469564348,0.866680562
6,0.615761101,0.621910334,-1,0.174748138,0.297507435,0.366476238,0.226472601,0.433467865,0.874518096
7,0.614236712,0.608019412,-1,0.179025501,0.303683847,0.380397648,0.22728917,0.457432538,0.871414542
8,0.61030215,0.604941964,-1,0.182106346,0.308104873,0.388856202,0.228885978,0.471184939,0.87027806
9,0.606152594,0.607842982,-1,0.182347447,0.308449864,0.384107381,0.232217014,0.459196001,0.873783171
10,0.603317738,0.597936034,-1,0.18535614,0.312743396,0.390294492,0.234939635,0.467594147,0.874026239
11,0.598887563,0.602902591,-1,0.187061667,0.315167576,0.392858684,0.237039864,0.470116735,0.874764144
12,0.598317683,0.610760152,-1,0.187286288,0.315486312,0.389229327,0.239774048,0.461078972,0.877353013
13,0.595979214,0.605830193,-1,0.188206822,0.316791356,0.388752282,0.242100418,0.458130121,0.878870785
14,0.591646671,0.587214649,-1,0.190152332,0.319542825,0.390633076,0.245177537,0.458659917,0.880259097
15,0.589405715,0.593918622,-1,0.191785932,0.321846277,0.39345634,0.246940047,0.461983174,0.880659997
16,0.586418033,0.593654692,-1,0.193443164,0.32417658,0.396649063,0.248502627,0.466119021,0.880867958
17,0.583224237,0.59687531,-1,0.195513248,0.327078342,0.402649879,0.249143869,0.475964367,0.879948556
18,0.580837429,0.582958698,-1,0.196600586,0.328598499,0.401931852,0.251975924,0.472183377,0.88172096
19,0.577791691,0.742250621,-1,0.192139596,0.322344124,0.387269914,0.251946181,0.447337717,0.884706378
20,0.573896706,0.626994014,-1,0.192199096,0.322427809,0.391186237,0.249374151,0.456017226,0.882514417
21,0.57005918,0.582053661,-1,0.193471581,0.324216485,0.392565578,0.251295328,0.456759512,0.88328135
22,0.569768548,0.590397179,-1,0.195370719,0.326878875,0.397444606,0.252238005,0.464260101,0.882794499
23,0.568243802,0.580511987,-1,0.197228163,0.329474628,0.401105881,0.253902882,0.469096839,0.882959604
24,0.561555505,0.607081115,-1,0.197422221,0.329745382,0.401425332,0.254118264,0.469459325,0.883012533
25,0.558837533,0.623013914,-1,0.197112635,0.329313427,0.402177483,0.252937347,0.471766323,0.882207572
26,0.553193688,0.625888705,-1,0.19706063,0.329240859,0.403276831,0.25210315,0.47439456,0.881512403
27,0.549007595,0.575273514,-1,0.198566765,0.331340343,0.405533463,0.253916234,0.476693749,0.882062852
28,0.546951294,0.568128526,-1,0.200451553,0.333960235,0.408502311,0.256079465,0.479915798,0.88265872
29,0.546995342,0.559295177,-1,0.202282518,0.336497456,0.41102469,0.258406729,0.482226908,0.883428514
30,0.543124795,0.568128645,-1,0.203371421,0.338002741,0.411456525,0.260495931,0.481167078,0.884465396
31,0.542339027,0.575256288,-1,0.204323977,0.339317292,0.41193521,0.262262493,0.480488628,0.885303438
32,0.540082932,0.570542812,-1,0.205619469,0.341101766,0.413618296,0.263969004,0.481920898,0.885872483
33,0.531980634,0.577441633,-1,0.206057101,0.341703743,0.412309915,0.265832663,0.478180945,0.88706094
34,0.534084857,0.583726704,-1,0.206142202,0.341820717,0.409810156,0.267778039,0.472459406,0.888470352
35,0.528954029,0.596868217,-1,0.206898302,0.342859536,0.412295014,0.267715365,0.47664851,0.887999415
36,0.524508715,0.616995811,-1,0.207155347,0.343212426,0.414829522,0.266523689,0.481861949,0.886951506
37,0.525872529,0.599163353,-1,0.207913175,0.344251871,0.417587221,0.266305596,0.486709118,0.886339307
38,0.524395168,0.600824475,-1,0.208799243,0.345465541,0.420847416,0.266043127,0.492489457,0.885605514
39,0.519971728,0.563578904,-1,0.209910497,0.346985161,0.422020882,0.26766631,0.493111253,0.886227548
40,0.51466763,0.643306434,-1,0.209161028,0.345960587,0.421979904,0.266072661,0.494405031,0.88541168
41,0.5127002,0.631337464,-1,0.209419966,0.346314728,0.424753606,0.264810741,0.500297189,0.884227276
42,0.512257397,0.566415727,-1,0.210013703,0.347126156,0.424367398,0.26633212,0.498285115,0.885105312
43,0.515126705,0.574000657,-1,0.21105209,0.348543376,0.426249951,0.26732105,0.500664294,0.885275662
44,0.50823766,0.550103366,-1,0.212375611,0.350346237,0.427865446,0.269091189,0.501900673,0.885900795
45,0.504750013,0.584573925,-1,0.212368101,0.350335985,0.425710261,0.270510495,0.496995389,0.887010872
46,0.506997049,0.559612691,-1,0.213276982,0.351571798,0.426382124,0.272025347,0.49686715,0.887651205
47,0.500605047,0.573210657,-1,0.213769093,0.352240145,0.426114857,0.273277432,0.495378166,0.888315678
48,0.498077452,0.562125564,-1,0.214881524,0.353748947,0.427820027,0.274530381,0.497229606,0.888636351
49,0.499548942,0.706059575,-1,0.213417619,0.351762831,0.429148346,0.270474643,0.502905607,0.88638109
50,0.49277693,0.56704706,-1,0.214107409,0.35269928,0.429684907,0.271596998,0.502859473,0.886856794
51,0.493561298,0.57115823,-1,0.214746967,0.353566587,0.430629343,0.272339582,0.503840089,0.887065828
52,0.489755243,0.574279606,-1,0.21567069,0.354817599,0.432641298,0.272978455,0.506738007,0.887035728
53,0.492188692,0.547620416,-1,0.216533586,0.355984539,0.433374405,0.274335504,0.506829739,0.887589335
54,0.486397386,0.545771718,-1,0.217424706,0.357187957,0.433835447,0.275936544,0.506259561,0.88830322
55,0.48604241,0.564478099,-1,0.217820659,0.357722044,0.433060646,0.277315468,0.503795743,0.889105022
56,0.486846209,0.546317875,-1,0.218632862,0.358816624,0.433692038,0.278639674,0.503774941,0.889636278
57,0.486488581,0.551919639,-1,0.219625086,0.360151798,0.43515718,0.279778868,0.505315244,0.889938891
58,0.480403215,0.552680314,-1,0.220204383,0.360930324,0.434948236,0.281180024,0.503830373,0.890632212
59,0.482116699,0.582298398,-1,0.220701128,0.361597329,0.43613869,0.281430811,0.505626917,0.890559018
60,0.478217512,0.599750459,-1,0.220930934,0.361905694,0.437318116,0.281112581,0.507870018,0.890220225
61,0.475580603,0.548177421,-1,0.221561655,0.362751514,0.437362015,0.282446325,0.506862819,0.890838265
62,0.476303399,0.567345619,-1,0.222115993,0.363494128,0.438035011,0.283179283,0.507402956,0.891072333
63,0.471476376,0.553756297,-1,0.222610757,0.364156395,0.437699825,0.284488797,0.505799174,0.891726851
64,0.469608754,0.570042551,-1,0.223068327,0.364768386,0.438049197,0.285239369,0.505790353,0.892014444
65,0.469532013,0.556496859,-1,0.223495618,0.365339458,0.437667251,0.286444336,0.504214942,0.892615676
66,0.46653837,0.554077327,-1,0.224143699,0.366204888,0.43827793,0.287427664,0.504467726,0.892961919
67,0.467428178,0.556798875,-1,0.224798411,0.367078215,0.439201087,0.288200706,0.505401254,0.893166423
68,0.464739233,0.56648308,-1,0.225327566,0.367783368,0.439957887,0.28881672,0.506180406,0.893325806
69,0.465842962,0.555473149,-1,0.225797489,0.368409127,0.439999759,0.289817393,0.505484939,0.893758535
70,0.465196908,0.558066964,-1,0.226195276,0.368938446,0.439621955,0.290967613,0.503994107,0.894312501
71,0.464484185,0.543114841,-1,0.226784691,0.369722098,0.439829677,0.292117596,0.50347662,0.894775629
72,0.461422563,0.552957296,-1,0.227422699,0.370569468,0.44060728,0.29295671,0.504127562,0.895021856
73,0.459713191,0.555006802,-1,0.227822274,0.37109974,0.440270454,0.29409197,0.502742529,0.895547926
74,0.460019588,0.549391031,-1,0.22835052,0.371800244,0.440470129,0.295118093,0.502321124,0.895948172
75,0.457015693,0.546297669,-1,0.228969947,0.372620881,0.441048414,0.296064764,0.502576709,0.896260202
76,0.456714451,0.556573451,-1,0.229403466,0.373194754,0.441011459,0.29706043,0.501802981,0.896673799
77,0.457683474,0.580724478,-1,0.229729384,0.373625904,0.441924185,0.297099322,0.50325352,0.896565914
78,0.454235733,0.553927124,-1,0.230254859,0.374320567,0.442444623,0.297878921,0.503538549,0.896813929
79,0.452277571,0.587334573,-1,0.230491996,0.374633878,0.44329381,0.297767311,0.50499481,0.896653831
80,0.451652676,0.549299777,-1,0.231048808,0.375369042,0.443851531,0.298586756,0.505310953,0.896912992
81,0.452774435,0.558476388,-1,0.231393844,0.375824273,0.443790317,0.299402356,0.504630268,0.897251487
82,0.448955297,0.551909566,-1,0.231903464,0.376496196,0.444322348,0.300136179,0.504969478,0.897476375
83,0.448888063,0.561641216,-1,0.232298285,0.377016306,0.444781929,0.30066818,0.505335152,0.897629142
84,0.449772626,0.558578789,-1,0.232655719,0.377486944,0.44490394,0.301374078,0.505034804,0.89789474
85,0.448178709,0.555920482,-1,0.233044058,0.377997935,0.445212722,0.302006811,0.505088627,0.898105621
86,0.446244121,0.554525673,-1,0.233439878,0.378518462,0.44537732,0.302767396,0.504822969,0.898384392
87,0.446082741,0.550710261,-1,0.233873129,0.379087806,0.445615262,0.303556174,0.504658103,0.898663044
88,0.44642365,0.553033471,-1,0.234283626,0.3796269,0.445903301,0.304255635,0.504637361,0.898899019
89,0.445030451,0.553890169,-1,0.234709129,0.380185306,0.446388751,0.304835588,0.505015969,0.899062634
90,0.446306139,0.551011562,-1,0.235125691,0.380731612,0.446712017,0.30552128,0.505063295,0.899286866
91,0.446212918,0.557548821,-1,0.235482827,0.381199658,0.447024763,0.306081414,0.505180657,0.899463177
92,0.445417851,0.559505582,-1,0.235834599,0.381660461,0.447364986,0.306607902,0.505365551,0.899622679
93,0.443147868,0.552573204,-1,0.236223623,0.382169753,0.447701722,0.307221025,0.505486786,0.899814904
94,0.44495514,0.555207849,-1,0.236590564,0.382649779,0.448064476,0.307763726,0.505697787,0.899976671
95,0.441808462,0.552520514,-1,0.236968398,0.383143842,0.448359162,0.308384567,0.505748451,0.900175571
96,0.444867224,0.554048479,-1,0.237322181,0.383606136,0.448671639,0.308937013,0.505874395,0.900345743
97,0.444734663,0.556122959,-1,0.237656325,0.384042501,0.448982149,0.309446573,0.506026506,0.900499642
98,0.444120854,0.560376942,-1,0.237969875,0.384451807,0.449336886,0.309874445,0.506303728,0.900617123
99,0.443085998,0.555696607,-1,0.238287672,0.384866446,0.449584723,0.310396492,0.506349087,0.900782168
100,0.442406982,0.555089951,-1,0.238627017,0.385308921,0.449949682,0.310874164,0.506610155,0.900916398
-1,-1,-1,0.539263785,0.239015222,0.385814846,0.450421602,0.311376929,0.507024229,0.900923431
