epoch,train_loss,val_loss,test_loss,mIoU,mDice,f2_score,precision,recall,accuracy
1,0.779977441,0.734835505,-1,0.137123168,0.241175577,0.352265149,0.158086091,0.50837642,0.803901792
2,0.715198517,0.685923338,-1,0.130788341,0.231322423,0.306061357,0.164409056,0.390083879,0.841085076
3,0.693598509,0.671093225,-1,0.128066659,0.227055132,0.285530537,0.16927661,0.344715506,0.856133997
4,0.679905534,0.66559279,-1,0.127315149,0.225873232,0.277475834,0.172428563,0.327329963,0.862464964
5,0.669465363,0.655837297,-1,0.128763765,0.228150055,0.277236134,0.176165149,0.323659331,0.865760386
6,0.661893189,0.64599818,-1,0.132429093,0.23388502,0.283212185,0.181266308,0.329547346,0.867660403
7,0.656399786,0.641076207,-1,0.133210823,0.235103339,0.280755639,0.184973851,0.322504908,0.871364653
8,0.649788022,0.631532311,-1,0.141233653,0.247510508,0.299999326,0.191630125,0.349396348,0.869771659
9,0.644299746,0.6344558,-1,0.14768219,0.25735727,0.315474361,0.196901515,0.371385932,0.868614018
10,0.638857603,0.630927861,-1,0.150054097,0.26095137,0.31767866,0.201101005,0.371521056,0.871003747
11,0.633433938,0.631986558,-1,0.155198753,0.268696189,0.33170867,0.204082534,0.393178731,0.86880821
12,0.629892647,0.618277729,-1,0.157622471,0.272321045,0.333476782,0.208571687,0.392194033,0.871518731
13,0.625202656,0.634588659,-1,0.161594406,0.278228641,0.345977157,0.209768057,0.413024694,0.868642747
14,0.62312144,0.613081336,-1,0.165020376,0.283291847,0.35141319,0.214114964,0.418503016,0.870196342
15,0.621903718,0.633391082,-1,0.167042211,0.28626591,0.358107775,0.214534476,0.430060238,0.868545234
16,0.618592083,0.624919713,-1,0.16948621,0.289847314,0.365372062,0.215578303,0.442184627,0.867179155
17,0.615549386,0.638111293,-1,0.171419263,0.292669356,0.372794956,0.215480059,0.456027687,0.864880919
18,0.617016554,0.643481791,-1,0.173188925,0.295244753,0.379767597,0.215359211,0.469343483,0.862650514
19,0.615517437,0.611961246,-1,0.175137237,0.298071116,0.382582068,0.21786271,0.471751213,0.863803327
20,0.615804493,0.637880027,-1,0.176440939,0.299957156,0.388215631,0.21753259,0.482950151,0.861819088
