epoch,train_loss,val_loss,test_loss,mIoU,mDice,f2_score,precision,recall,accuracy
1,0.774092317,0.720552802,-1,0.098862834,0.179936618,0.180552676,0.178919151,0.180965737,0.898887634
2,0.709877372,0.658829749,-1,0.1089103,0.196427613,0.203450978,0.185740933,0.20841907,0.895470202
3,0.695578992,0.645878851,-1,0.104374275,0.18901974,0.190249905,0.187004477,0.191078946,0.899492979
4,0.688302457,0.642586827,-1,0.107810587,0.194637209,0.19698061,0.190853059,0.198574468,0.899267554
5,0.683584392,0.63618046,-1,0.110286206,0.198662668,0.197414145,0.200778961,0.196590498,0.902783096
6,0.677870631,0.637657642,-1,0.111384191,0.200442269,0.194605723,0.21098879,0.190899923,0.906643093
7,0.671519935,0.633066177,-1,0.115112856,0.206459552,0.200176373,0.217856467,0.196195811,0.907550573
8,0.663617611,0.63256216,-1,0.120418273,0.21495235,0.209569633,0.224565506,0.206128448,0.90770632
9,0.658134699,0.618472278,-1,0.126240224,0.224179924,0.219332471,0.232753411,0.216215625,0.90826571
10,0.65188998,0.616232991,-1,0.139989629,0.245598078,0.256373733,0.229519799,0.264098644,0.900545537
11,0.651374519,0.601349711,-1,0.148666009,0.258849829,0.278140336,0.232029065,0.292681545,0.897261322
12,0.643561184,0.598607957,-1,0.155772477,0.269555628,0.294745356,0.235947669,0.314327866,0.895575583
13,0.643935502,0.621120334,-1,0.15726608,0.271788985,0.296759278,0.238361448,0.316121519,0.896161258
14,0.641718328,0.610213995,-1,0.161802649,0.278537244,0.309168428,0.239061758,0.333628178,0.894056737
15,0.637486994,0.611515522,-1,0.162869707,0.280116886,0.30877468,0.24259147,0.331375957,0.895594358
16,0.63651365,0.601072252,-1,0.166428283,0.285363942,0.316157997,0.245509237,0.340665847,0.895408928
17,0.634023011,0.739434242,-1,0.16150637,0.278098106,0.302273184,0.245388821,0.320868552,0.897885501
18,0.633407354,0.594549298,-1,0.164594248,0.282663673,0.308224767,0.248339057,0.327998579,0.897951901
19,0.629118085,0.585229576,-1,0.168083891,0.287794203,0.314631045,0.25197354,0.335487217,0.89821595
20,0.627543092,0.604605317,-1,0.170288786,0.291020095,0.320301831,0.252541512,0.343332052,0.897457123
21,0.626934171,0.600598574,-1,0.172516063,0.294266433,0.324918449,0.254285365,0.34916544,0.897337556
22,0.623568237,0.617878675,-1,0.174471676,0.297106653,0.332695723,0.252151459,0.361569583,0.895130515
23,0.622096956,0.610264421,-1,0.174913973,0.297747672,0.33268699,0.253394574,0.360921979,0.895638943
24,0.623783946,0.612165093,-1,0.174971119,0.297830492,0.332486331,0.253749073,0.360447645,0.895817399
25,0.620943725,0.596683025,-1,0.176547453,0.300111055,0.334559858,0.256152183,0.362283409,0.896420062
26,0.619644582,0.66783762,-1,0.174537659,0.297202319,0.328762889,0.256209642,0.353810877,0.897427797
27,0.617005765,0.585858643,-1,0.175966799,0.299271703,0.330278009,0.258781254,0.354783148,0.898157895
28,0.614361465,0.586749315,-1,0.178495854,0.302921474,0.336316049,0.259908706,0.362994075,0.897592545
29,0.61252737,0.586636305,-1,0.180092961,0.305218279,0.339229554,0.261518359,0.366452813,0.897732854
30,0.611120939,0.595457256,-1,0.181068331,0.306617886,0.340417653,0.263082534,0.367419034,0.898136854
31,0.610351741,0.580682218,-1,0.183233798,0.30971697,0.344984978,0.26462847,0.373325795,0.897992909
32,0.605619848,0.579808652,-1,0.184853673,0.312027842,0.347592741,0.266569823,0.376177162,0.898316622
33,0.60498184,0.606193542,-1,0.186278641,0.314055473,0.352669299,0.265589684,0.384158015,0.897133768
34,0.60300076,0.589077771,-1,0.187876299,0.316322982,0.356431216,0.266367048,0.389342397,0.896835029
35,0.60197109,0.566717327,-1,0.189521059,0.31865105,0.359010249,0.268368602,0.392119944,0.897209406
36,0.601267815,0.57997787,-1,0.191240415,0.321077794,0.36290285,0.269341201,0.397415668,0.896976829
37,0.598336995,0.615930021,-1,0.190953717,0.320673615,0.3630234,0.268473983,0.398070902,0.896615386
